Var	-LOG([Fdr (Pdat Gx)])	Model	Value	-LOG([Fdr (Pdat Gx)])	Model	Value	Var
SIN3A	0.501460528	Bulk (unadjusted)	-0.978768039	0.277353157	Cell contribution (adjusted)	-0.572717234	SIN3A
SIMC1	0.051382379	Bulk (unadjusted)	0.126445556	0.025220583	Cell contribution (adjusted)	0.061042373	SIMC1
SIM2	0.298759298	Bulk (unadjusted)	-0.958137514	0.433507915	Cell contribution (adjusted)	-0.855357946	SIM2
SIM1	0.056982473	Bulk (unadjusted)	0.091791832	0.144914306	Cell contribution (adjusted)	-0.311410307	SIM1
SIL1	0.355048523	Bulk (unadjusted)	0.478305574	0.089033112	Cell contribution (adjusted)	-0.260380138	SIL1
SIKE1	0.989099665	Bulk (unadjusted)	0.552669064	0.966288277	Cell contribution (adjusted)	0.5384094	SIKE1
SIK3	0.148305013	Bulk (unadjusted)	-0.281361366	0.015534044	Cell contribution (adjusted)	-0.02227054	SIK3
SIK2	1.596772022	Bulk (unadjusted)	-1.993709624	2.207297048	Cell contribution (adjusted)	-1.181746997	SIK2
SIK1	1.310832443	Bulk (unadjusted)	0.812703877	0.418543836	Cell contribution (adjusted)	0.401837669	SIK1
SIGMAR1	0.010228006	Bulk (unadjusted)	0.029211922	0.010758846	Cell contribution (adjusted)	-0.023092492	SIGMAR1
SIGLECL1	0.057952385	Bulk (unadjusted)	0.148016924	0.095194538	Cell contribution (adjusted)	-0.183553693	SIGLECL1
SIGLEC15	2.407025627	Bulk (unadjusted)	-1.138665712	1.676785275	Cell contribution (adjusted)	-0.9219668	SIGLEC15
SIGLEC14	0.691266432	Bulk (unadjusted)	0.569817503	0.190563382	Cell contribution (adjusted)	0.234495703	SIGLEC14
SIGLEC12	0.577030579	Bulk (unadjusted)	0.514732182	0.239523665	Cell contribution (adjusted)	0.276465986	SIGLEC12
SIGLEC11	1.776298159	Bulk (unadjusted)	-0.759981914	1.343846811	Cell contribution (adjusted)	-0.672790479	SIGLEC11
SIGLEC10	2.8266297	Bulk (unadjusted)	0.989832284	0.72585327	Cell contribution (adjusted)	0.451193474	SIGLEC10
SIGLEC9	2.186180473	Bulk (unadjusted)	0.853834707	1.068450769	Cell contribution (adjusted)	0.565143243	SIGLEC9
SIGLEC8	0.136484076	Bulk (unadjusted)	-0.167956049	0.340503029	Cell contribution (adjusted)	-0.719240395	SIGLEC8
SIGLEC7	0.990492737	Bulk (unadjusted)	0.831849327	0.030043402	Cell contribution (adjusted)	0.071961232	SIGLEC7
SIGLEC6	0.269469598	Bulk (unadjusted)	-0.261708031	0.979050624	Cell contribution (adjusted)	-0.538364278	SIGLEC6
SIGLEC5	0.673741044	Bulk (unadjusted)	0.696200229	0.436147613	Cell contribution (adjusted)	0.3298577	SIGLEC5
SIGLEC1	0.226505336	Bulk (unadjusted)	0.580560473	0.13317652	Cell contribution (adjusted)	0.303904486	SIGLEC1
SIGIRR	1.132824726	Bulk (unadjusted)	1.23137388	0.579242259	Cell contribution (adjusted)	0.647405727	SIGIRR
SIDT2	0.505848936	Bulk (unadjusted)	-0.82774208	0.575324865	Cell contribution (adjusted)	-0.771958738	SIDT2
SIDT1	0.489781532	Bulk (unadjusted)	0.571166642	0.009300049	Cell contribution (adjusted)	0.034953959	SIDT1
SIAH3	0.016332306	Bulk (unadjusted)	-0.045993678	0.142109559	Cell contribution (adjusted)	-0.150696651	SIAH3
SIAH2	0.81308831	Bulk (unadjusted)	0.496419054	0.407031092	Cell contribution (adjusted)	0.315434101	SIAH2
SIAH1	1.151039626	Bulk (unadjusted)	-0.602193386	0.163572513	Cell contribution (adjusted)	0.484034089	SIAH1
SIAE	1.238925668	Bulk (unadjusted)	1.44411212	1.55079475	Cell contribution (adjusted)	0.701386743	SIAE
SI	0.442591027	Bulk (unadjusted)	0.352805786	0.132465573	Cell contribution (adjusted)	0.142631119	SI
SHTN1	0.44706408	Bulk (unadjusted)	0.35252821	1.100573864	Cell contribution (adjusted)	0.84240954	SHTN1
SHROOM4	0.06481032	Bulk (unadjusted)	-0.096726411	0.056458696	Cell contribution (adjusted)	-0.151294109	SHROOM4
SHROOM3	0.973537195	Bulk (unadjusted)	-0.814506094	0.465349975	Cell contribution (adjusted)	-0.694004251	SHROOM3
SHROOM2	0.114555539	Bulk (unadjusted)	0.215269756	0.484938809	Cell contribution (adjusted)	0.689192376	SHROOM2
SHROOM1	0.051651701	Bulk (unadjusted)	0.234725931	0.522127793	Cell contribution (adjusted)	-0.368696272	SHROOM1
SHQ1	0.603059023	Bulk (unadjusted)	0.419929515	0.942484765	Cell contribution (adjusted)	0.528549243	SHQ1
SHPRH	0.27041921	Bulk (unadjusted)	-0.262459748	0.197827565	Cell contribution (adjusted)	0.403299676	SHPRH
SHPK	0.416932118	Bulk (unadjusted)	-0.894013145	0.690463494	Cell contribution (adjusted)	-0.994864415	SHPK
SHOX2	0.076728762	Bulk (unadjusted)	-0.34184327	0.027126065	Cell contribution (adjusted)	-0.101988666	SHOX2
SHOX	4.813273465	Bulk (unadjusted)	-1.343334325	3.015030415	Cell contribution (adjusted)	-1.020715708	SHOX
SHOC2	0.114586392	Bulk (unadjusted)	0.147756376	0.602888249	Cell contribution (adjusted)	0.405669298	SHOC2
SHMT2	0.863959287	Bulk (unadjusted)	1.050960756	0.126517576	Cell contribution (adjusted)	0.291268312	SHMT2
SHMT1	1.185887291	Bulk (unadjusted)	-1.163710726	0.483798365	Cell contribution (adjusted)	-0.658515026	SHMT1
SHKBP1	0.473471835	Bulk (unadjusted)	0.655961495	0.108247098	Cell contribution (adjusted)	0.178466059	SHKBP1
SHISA9	0.17484664	Bulk (unadjusted)	-0.467446233	2.132358214	Cell contribution (adjusted)	-0.835150179	SHISA9
SHISA8	0.284365173	Bulk (unadjusted)	0.912482472	0.116342242	Cell contribution (adjusted)	-0.213248642	SHISA8
SHISA7	0.134545588	Bulk (unadjusted)	-0.416093257	2.592106032	Cell contribution (adjusted)	-0.932536941	SHISA7
SHISA6	4.381689869	Bulk (unadjusted)	-1.487380771	0.328975496	Cell contribution (adjusted)	-0.713395699	SHISA6
SHISA5	0.054573707	Bulk (unadjusted)	0.143366411	0.335843766	Cell contribution (adjusted)	-0.322477099	SHISA5
SHISA4	1.437138471	Bulk (unadjusted)	-0.677413124	0.599726442	Cell contribution (adjusted)	-1.048939175	SHISA4
SHISA3	1.34808234	Bulk (unadjusted)	-0.837062253	0.531450135	Cell contribution (adjusted)	-0.440977363	SHISA3
SHISA2	0.440776994	Bulk (unadjusted)	0.511781639	1.307478395	Cell contribution (adjusted)	0.636346621	SHISA2
SHH	0.22344184	Bulk (unadjusted)	-0.666591008	1.748684099	Cell contribution (adjusted)	-1.0952382	SHH
SHF	0.305928096	Bulk (unadjusted)	-0.744786426	3.524652729	Cell contribution (adjusted)	-1.127887393	SHF
SHE	0.2404367	Bulk (unadjusted)	-0.393638185	0.19668581	Cell contribution (adjusted)	0.261863263	SHE
SHD	0.02326909	Bulk (unadjusted)	-0.104002839	0.269836458	Cell contribution (adjusted)	-0.717121521	SHD
SHCBP1L	0.089031253	Bulk (unadjusted)	0.123830938	0.039725068	Cell contribution (adjusted)	-0.103104991	SHCBP1L
SHCBP1	2.370178598	Bulk (unadjusted)	1.190292242	2.085801956	Cell contribution (adjusted)	0.82357385	SHCBP1
SHC4	0.002376754	Bulk (unadjusted)	-0.008235192	0.033068883	Cell contribution (adjusted)	0.080948191	SHC4
SHC3	0.359782396	Bulk (unadjusted)	-0.435507224	0.348101436	Cell contribution (adjusted)	-0.736041465	SHC3
SHC2	0.21256688	Bulk (unadjusted)	-0.224885232	0.193606436	Cell contribution (adjusted)	-0.190393021	SHC2
SHC1	0.925282753	Bulk (unadjusted)	0.950263723	1.097091692	Cell contribution (adjusted)	0.576005718	SHC1
SHBG	0.088795627	Bulk (unadjusted)	-0.122970453	0.438084111	Cell contribution (adjusted)	-0.331699144	SHBG
SHB	0.052801685	Bulk (unadjusted)	0.113280238	0.30234289	Cell contribution (adjusted)	-0.579722531	SHB
SHARPIN	0.027360436	Bulk (unadjusted)	-0.185261332	0.308566392	Cell contribution (adjusted)	-0.639521165	SHARPIN
SHANK3	0.433343101	Bulk (unadjusted)	-0.49281659	0.241801885	Cell contribution (adjusted)	-0.315926866	SHANK3
SHANK2	7.29959039	Bulk (unadjusted)	-1.771438237	0.655581146	Cell contribution (adjusted)	-0.966769382	SHANK2
SHANK1	0.072231893	Bulk (unadjusted)	-0.104866221	0.714515256	Cell contribution (adjusted)	-0.44930201	SHANK1
SH3YL1	3.749483876	Bulk (unadjusted)	-1.147504923	0.442724446	Cell contribution (adjusted)	-0.57712661	SH3YL1
SH3TC2	0.467866797	Bulk (unadjusted)	-0.362948117	0.522310932	Cell contribution (adjusted)	-0.369697104	SH3TC2
SH3TC1	0.070109089	Bulk (unadjusted)	0.221021556	0.080932767	Cell contribution (adjusted)	-0.190081534	SH3TC1
SH3RF3	0.214061175	Bulk (unadjusted)	-0.396948655	0.261009762	Cell contribution (adjusted)	-0.64274974	SH3RF3
SH3RF2	1.100489898	Bulk (unadjusted)	-0.586346692	1.475041206	Cell contribution (adjusted)	-0.853595649	SH3RF2
SH3RF1	2.638001328	Bulk (unadjusted)	-1.383754635	1.457606923	Cell contribution (adjusted)	-0.733488497	SH3RF1
SH3PXD2B	0.044504824	Bulk (unadjusted)	0.159255232	0.12251609	Cell contribution (adjusted)	0.253673445	SH3PXD2B
SH3PXD2A	0.063909	Bulk (unadjusted)	-0.292795325	0.047023211	Cell contribution (adjusted)	-0.16004801	SH3PXD2A
SH3KBP1	0.350972337	Bulk (unadjusted)	0.614187246	0.244689108	Cell contribution (adjusted)	0.403985743	SH3KBP1
SH3GLB2	0.789954412	Bulk (unadjusted)	-1.188272842	1.80825057	Cell contribution (adjusted)	-1.215866755	SH3GLB2
SH3GLB1	0.892541204	Bulk (unadjusted)	0.521487141	1.104504466	Cell contribution (adjusted)	0.924104509	SH3GLB1
SH3GL3	0.210608191	Bulk (unadjusted)	-0.390384041	0.978425216	Cell contribution (adjusted)	-0.539525678	SH3GL3
SH3GL2	2.618921438	Bulk (unadjusted)	-1.337746202	0.335258105	Cell contribution (adjusted)	-0.642703801	SH3GL2
SH3GL1	0.099218151	Bulk (unadjusted)	-0.379370783	0.245718016	Cell contribution (adjusted)	-0.536754596	SH3GL1
SH3D21	0.05873731	Bulk (unadjusted)	-0.146015623	1.725033866	Cell contribution (adjusted)	-0.748481733	SH3D21
SH3D19	3.06469715	Bulk (unadjusted)	-1.034602518	0.133835421	Cell contribution (adjusted)	-0.144708235	SH3D19
SH3BP5L	0.070083165	Bulk (unadjusted)	0.348329251	0.00540887	Cell contribution (adjusted)	-0.022138036	SH3BP5L
SH3BP5	3.664233707	Bulk (unadjusted)	-1.476487448	0.907198973	Cell contribution (adjusted)	-0.743106168	SH3BP5
SH3BP4	0.499372101	Bulk (unadjusted)	-0.378675274	0.012385019	Cell contribution (adjusted)	-0.017076665	SH3BP4
SH3BP2	0.083595352	Bulk (unadjusted)	0.392348234	0.007779782	Cell contribution (adjusted)	-0.027714206	SH3BP2
SH3BP1	0.198911239	Bulk (unadjusted)	0.28611663	0.523579532	Cell contribution (adjusted)	-0.608645473	SH3BP1
SH3BGRL3	1.642672727	Bulk (unadjusted)	0.730301694	1.657344866	Cell contribution (adjusted)	0.769914903	SH3BGRL3
SH3BGRL2	0.955941858	Bulk (unadjusted)	-1.828817425	0.505643795	Cell contribution (adjusted)	-0.865630088	SH3BGRL2
SH3BGRL	0.131557877	Bulk (unadjusted)	0.613630556	0.599211198	Cell contribution (adjusted)	1.477094965	SH3BGRL
SH3BGR	2.251965238	Bulk (unadjusted)	-0.864206418	0.854545322	Cell contribution (adjusted)	-1.176943058	SH3BGR
SH2D7	0.435413356	Bulk (unadjusted)	-0.436789822	0.559458749	Cell contribution (adjusted)	-0.482298575	SH2D7
SH2D6	0.141875683	Bulk (unadjusted)	-0.356073043	0.349946057	Cell contribution (adjusted)	-0.679949565	SH2D6
SH2D5	0.966019629	Bulk (unadjusted)	-0.569652524	1.501288432	Cell contribution (adjusted)	-0.686470046	SH2D5
SH2D4B	0.133785478	Bulk (unadjusted)	-0.27674511	0.011349761	Cell contribution (adjusted)	0.030878452	SH2D4B
SH2D4A	2.478617604	Bulk (unadjusted)	-0.911592441	0.622515487	Cell contribution (adjusted)	-0.646401032	SH2D4A
SH2D3C	0.614121792	Bulk (unadjusted)	0.807866466	0.138870534	Cell contribution (adjusted)	0.149317963	SH2D3C
SH2D3A	0.019123133	Bulk (unadjusted)	-0.058942672	0.789943731	Cell contribution (adjusted)	-0.865306794	SH2D3A
SH2D2A	0.415845612	Bulk (unadjusted)	1.182288033	0.14750885	Cell contribution (adjusted)	0.354042691	SH2D2A
SH2D1B	0.337762349	Bulk (unadjusted)	-0.300216919	1.797743847	Cell contribution (adjusted)	-0.760479205	SH2D1B
SH2D1A	0.394162301	Bulk (unadjusted)	0.556417415	0.034976019	Cell contribution (adjusted)	0.106133338	SH2D1A
SH2B3	0.401817022	Bulk (unadjusted)	0.573401904	0.419660351	Cell contribution (adjusted)	1.042410301	SH2B3
SH2B2	0.004983833	Bulk (unadjusted)	0.019272676	0.665205258	Cell contribution (adjusted)	-0.807015151	SH2B2
SH2B1	0.000163507	Bulk (unadjusted)	-0.002147435	0.163193981	Cell contribution (adjusted)	-0.568635786	SH2B1
SGTB	0.325058853	Bulk (unadjusted)	0.914372562	0.775252751	Cell contribution (adjusted)	1.211125643	SGTB
SGTA	0.360618652	Bulk (unadjusted)	-0.544014634	0.95819693	Cell contribution (adjusted)	-1.180978556	SGTA
SGSM3	0.09130468	Bulk (unadjusted)	0.400884826	0.201004017	Cell contribution (adjusted)	-0.391234101	SGSM3
SGSM2	0.090827038	Bulk (unadjusted)	-0.387288192	0.58423806	Cell contribution (adjusted)	-0.701620246	SGSM2
SGSM1	2.523107783	Bulk (unadjusted)	-1.132559082	2.986773213	Cell contribution (adjusted)	-1.02397654	SGSM1
SGSH	0.045954853	Bulk (unadjusted)	-0.186031965	0.559553821	Cell contribution (adjusted)	-0.562235978	SGSH
SGPP2	0.654849828	Bulk (unadjusted)	0.749300793	0.12253479	Cell contribution (adjusted)	0.189389134	SGPP2
SGPP1	0.392067429	Bulk (unadjusted)	0.657156084	1.81089401	Cell contribution (adjusted)	1.194225652	SGPP1
SGPL1	0.871732235	Bulk (unadjusted)	1.096787062	0.246962551	Cell contribution (adjusted)	0.63314134	SGPL1
SGO2	1.658616565	Bulk (unadjusted)	1.251593675	2.27256768	Cell contribution (adjusted)	0.866133112	SGO2
SGO1	0.258699568	Bulk (unadjusted)	0.573733098	0.178676286	Cell contribution (adjusted)	0.309853408	SGO1
SGMS2	1.148385299	Bulk (unadjusted)	0.598654608	3.255122581	Cell contribution (adjusted)	1.06973753	SGMS2
SGMS1	0.098151133	Bulk (unadjusted)	-0.14336697	0.307963111	Cell contribution (adjusted)	0.533394964	SGMS1
SGK2	1.952971334	Bulk (unadjusted)	-1.278199211	2.385597999	Cell contribution (adjusted)	-0.905507984	SGK2
SGK1	2.773647114	Bulk (unadjusted)	0.97418074	2.609437637	Cell contribution (adjusted)	0.940131567	SGK1
SGIP1	1.202745439	Bulk (unadjusted)	0.614686152	1.285233981	Cell contribution (adjusted)	0.628347446	SGIP1
SGF29	0.18232521	Bulk (unadjusted)	-0.654177001	0.449227297	Cell contribution (adjusted)	-1.302338581	SGF29
SGCZ	0.744585223	Bulk (unadjusted)	-0.802161994	0.074715154	Cell contribution (adjusted)	-0.272217	SGCZ
SGCG	4.97052273	Bulk (unadjusted)	-1.369322485	1.895859558	Cell contribution (adjusted)	-0.785111338	SGCG
SGCE	4.872717309	Bulk (unadjusted)	-1.513727829	0.562703163	Cell contribution (adjusted)	-0.660816365	SGCE
SGCD	0.003565595	Bulk (unadjusted)	-0.013926269	0.308351396	Cell contribution (adjusted)	0.458745191	SGCD
SGCB	0.351378711	Bulk (unadjusted)	-0.392342099	0.355069448	Cell contribution (adjusted)	0.324097254	SGCB
SGCA	5.190737917	Bulk (unadjusted)	-1.410183031	1.669726543	Cell contribution (adjusted)	-1.184504094	SGCA
SFXN5	0.11268881	Bulk (unadjusted)	-0.208466977	1.690583548	Cell contribution (adjusted)	-0.738670588	SFXN5
SFXN4	0.440800276	Bulk (unadjusted)	0.350511528	0.162222425	Cell contribution (adjusted)	-0.262581498	SFXN4
SFXN3	0.056474016	Bulk (unadjusted)	-0.095415488	0.132557939	Cell contribution (adjusted)	0.143316863	SFXN3
SFXN2	0.069357221	Bulk (unadjusted)	0.159649466	0.523096558	Cell contribution (adjusted)	-0.473656655	SFXN2
SFXN1	4.058238092	Bulk (unadjusted)	1.205892635	0.595838834	Cell contribution (adjusted)	0.687954643	SFXN1
SFTPD	1.153606316	Bulk (unadjusted)	-0.600156514	0.239523665	Cell contribution (adjusted)	-0.220661371	SFTPD
SFTPC	0.164813278	Bulk (unadjusted)	-0.316884882	1.389083432	Cell contribution (adjusted)	-1.163134052	SFTPC
SFTPB	0.932944935	Bulk (unadjusted)	-0.534841774	0.913424632	Cell contribution (adjusted)	-0.570041263	SFTPB
SFTPA2	0.263126759	Bulk (unadjusted)	-0.258163678	0.54519735	Cell contribution (adjusted)	-0.482783075	SFTPA2
SFTPA1	2.927543743	Bulk (unadjusted)	-1.273645034	1.210151554	Cell contribution (adjusted)	-0.76587694	SFTPA1
SFTA3	0.583282347	Bulk (unadjusted)	-0.694413079	0.519350572	Cell contribution (adjusted)	-0.618431079	SFTA3
SFTA2	0.02133589	Bulk (unadjusted)	-0.064162851	0.1795312	Cell contribution (adjusted)	-0.453208305	SFTA2
SFT2D3	0.046328253	Bulk (unadjusted)	-0.263160106	0.202414175	Cell contribution (adjusted)	-0.43637277	SFT2D3
SFT2D2	1.16430039	Bulk (unadjusted)	0.943807524	0.717616682	Cell contribution (adjusted)	0.863836101	SFT2D2
SFT2D1	1.772152228	Bulk (unadjusted)	0.972553905	3.034839676	Cell contribution (adjusted)	1.041010823	SFT2D1
SFSWAP	0.075655857	Bulk (unadjusted)	-0.284556258	0.422558549	Cell contribution (adjusted)	-0.729095361	SFSWAP
SFRP5	1.159820236	Bulk (unadjusted)	-0.602039979	1.57531274	Cell contribution (adjusted)	-0.711980951	SFRP5
SFRP4	0.007585665	Bulk (unadjusted)	-0.031693264	0.833792194	Cell contribution (adjusted)	0.488660005	SFRP4
SFRP2	0.158441198	Bulk (unadjusted)	-0.427159992	0.019724372	Cell contribution (adjusted)	-0.046618608	SFRP2
SFRP1	2.322561272	Bulk (unadjusted)	-1.014930113	0.905840956	Cell contribution (adjusted)	-0.514131813	SFRP1
SFR1	0.054521665	Bulk (unadjusted)	0.27479525	0.59786068	Cell contribution (adjusted)	0.958022838	SFR1
SFPQ	0.032739996	Bulk (unadjusted)	0.056306423	0.142109559	Cell contribution (adjusted)	0.150964521	SFPQ
SFN	0.065393171	Bulk (unadjusted)	0.097664905	0.047658982	Cell contribution (adjusted)	-0.062833032	SFN
SFMBT2	0.618506683	Bulk (unadjusted)	1.135478836	0.286326184	Cell contribution (adjusted)	0.553262725	SFMBT2
SFMBT1	0.101537749	Bulk (unadjusted)	0.177782268	0.18295435	Cell contribution (adjusted)	0.319180947	SFMBT1
SFI1	0.031943553	Bulk (unadjusted)	0.092462519	0.37541529	Cell contribution (adjusted)	-0.562929535	SFI1
SF3B6	0.048364842	Bulk (unadjusted)	0.292253871	0.062950214	Cell contribution (adjusted)	0.290394386	SF3B6
SF3B5	0.214802767	Bulk (unadjusted)	0.556859216	0.326329209	Cell contribution (adjusted)	0.525510709	SF3B5
SF3B4	0.3964138	Bulk (unadjusted)	0.493219872	0.07088621	Cell contribution (adjusted)	0.205007616	SF3B4
SF3B3	0.314437019	Bulk (unadjusted)	0.288557261	0.154931016	Cell contribution (adjusted)	-0.343352221	SF3B3
SF3B2	0.459026747	Bulk (unadjusted)	-0.851503678	0.387742484	Cell contribution (adjusted)	-0.933856759	SF3B2
SF3B1	0.0836465	Bulk (unadjusted)	0.290938824	0.194809189	Cell contribution (adjusted)	0.388872703	SF3B1
SF3A3	0.212677929	Bulk (unadjusted)	-0.457584008	0.278155629	Cell contribution (adjusted)	-0.61461654	SF3A3
SF3A2	0.003341357	Bulk (unadjusted)	-0.030270007	0.039706443	Cell contribution (adjusted)	-0.23110681	SF3A2
SF3A1	0.874372362	Bulk (unadjusted)	-1.347166159	0.230816612	Cell contribution (adjusted)	-0.759183156	SF3A1
SF1	0.109946568	Bulk (unadjusted)	-0.314885883	0.031849364	Cell contribution (adjusted)	-0.125100407	SF1
SEZ6L2	0.290267445	Bulk (unadjusted)	0.678338197	0.08403948	Cell contribution (adjusted)	0.143216241	SEZ6L2
SEZ6L	0.037202792	Bulk (unadjusted)	0.062550243	0.087564329	Cell contribution (adjusted)	-0.173811108	SEZ6L
SEZ6	0.722071811	Bulk (unadjusted)	-0.464261834	2.845656036	Cell contribution (adjusted)	-0.99709149	SEZ6
SETX	1.819354804	Bulk (unadjusted)	1.432308239	1.513768037	Cell contribution (adjusted)	1.122448363	SETX
SETMAR	0.183801528	Bulk (unadjusted)	-0.205015736	0.002033782	Cell contribution (adjusted)	0.002888289	SETMAR
SETDB2	5.276324304	Bulk (unadjusted)	1.420717619	2.611902068	Cell contribution (adjusted)	0.937440259	SETDB2
SETDB1	0.090970175	Bulk (unadjusted)	0.450819171	0.029431651	Cell contribution (adjusted)	-0.100535372	SETDB1
SETD9	0.00024508	Bulk (unadjusted)	-0.001355613	0.487687891	Cell contribution (adjusted)	0.434367744	SETD9
SETD7	0.687078793	Bulk (unadjusted)	-0.779995644	0.204630146	Cell contribution (adjusted)	0.197626416	SETD7
SETD6	0.648650772	Bulk (unadjusted)	-0.438126088	0.396505435	Cell contribution (adjusted)	-0.310380968	SETD6
SETD5	0.503912984	Bulk (unadjusted)	0.380958186	0.13021383	Cell contribution (adjusted)	0.140744739	SETD5
SETD4	0.477549746	Bulk (unadjusted)	-0.368412382	0.093021821	Cell contribution (adjusted)	-0.10837034	SETD4
SETD3	0.021251621	Bulk (unadjusted)	-0.086406501	0.138567263	Cell contribution (adjusted)	-0.481417153	SETD3
SETD2	0.169969614	Bulk (unadjusted)	-0.446505525	0.010015854	Cell contribution (adjusted)	-0.013989855	SETD2
SETD1B	0.297339685	Bulk (unadjusted)	-0.701423204	0.3049124	Cell contribution (adjusted)	-0.624859356	SETD1B
SETD1A	0.860078291	Bulk (unadjusted)	-1.072661248	5.223727595	Cell contribution (adjusted)	-1.455842513	SETD1A
SETBP1	0.91346755	Bulk (unadjusted)	-0.710787241	0.463292518	Cell contribution (adjusted)	-0.481001041	SETBP1
SET	0.013142919	Bulk (unadjusted)	0.109582327	0.168425636	Cell contribution (adjusted)	0.450593759	SET
SESTD1	0.516712847	Bulk (unadjusted)	-1.108495627	0.118817407	Cell contribution (adjusted)	-0.242363441	SESTD1
SESN3	1.267864455	Bulk (unadjusted)	0.632309794	1.820136317	Cell contribution (adjusted)	0.762167354	SESN3
SESN2	0.004822326	Bulk (unadjusted)	0.027317469	0.413222901	Cell contribution (adjusted)	-0.611246912	SESN2
SESN1	1.398626249	Bulk (unadjusted)	-0.669808547	0.537611951	Cell contribution (adjusted)	-0.374443286	SESN1
SERTM1	0.225665317	Bulk (unadjusted)	0.291789213	0.496926001	Cell contribution (adjusted)	0.358713236	SERTM1
SERTAD4	0.203416006	Bulk (unadjusted)	-0.3091232	0.01539768	Cell contribution (adjusted)	-0.040228324	SERTAD4
SERTAD3	0.095810827	Bulk (unadjusted)	0.248505699	0.038046362	Cell contribution (adjusted)	-0.090536448	SERTAD3
SERTAD2	0.610507409	Bulk (unadjusted)	-0.686128335	0.113161167	Cell contribution (adjusted)	-0.193149728	SERTAD2
SERTAD1	2.729950703	Bulk (unadjusted)	0.961690985	0.140338058	Cell contribution (adjusted)	0.384961584	SERTAD1
SERPINI2	0.12740435	Bulk (unadjusted)	0.352201259	0.19526893	Cell contribution (adjusted)	0.466983662	SERPINI2
SERPINI1	0.089716115	Bulk (unadjusted)	-0.378472136	0.03647519	Cell contribution (adjusted)	-0.099534762	SERPINI1
SERPINH1	0.485326362	Bulk (unadjusted)	1.039094724	0.499653028	Cell contribution (adjusted)	0.719623424	SERPINH1
SERPING1	1.785217117	Bulk (unadjusted)	-0.763602496	0.868019466	Cell contribution (adjusted)	-0.650163632	SERPING1
SERPINF2	0.019555322	Bulk (unadjusted)	-0.081836115	2.102486421	Cell contribution (adjusted)	-0.831347241	SERPINF2
SERPINF1	0.063216097	Bulk (unadjusted)	0.095362107	0.487687891	Cell contribution (adjusted)	0.353959269	SERPINF1
SERPINE3	4.186841319	Bulk (unadjusted)	-1.582463607	3.280855185	Cell contribution (adjusted)	-1.376565645	SERPINE3
SERPINE2	1.568580215	Bulk (unadjusted)	1.764752037	3.448422026	Cell contribution (adjusted)	1.117356442	SERPINE2
SERPINE1	0.533672348	Bulk (unadjusted)	0.391532785	0.600842301	Cell contribution (adjusted)	0.402774242	SERPINE1
SERPIND1	0.178618017	Bulk (unadjusted)	-0.201030996	0.263425497	Cell contribution (adjusted)	-0.236372531	SERPIND1
SERPINC1	0.253330745	Bulk (unadjusted)	-0.262902382	0.120757164	Cell contribution (adjusted)	-0.158004463	SERPINC1
SERPINB13	0.050935343	Bulk (unadjusted)	-0.120978605	0.076973323	Cell contribution (adjusted)	-0.094058568	SERPINB13
SERPINB12	0.369199127	Bulk (unadjusted)	0.31729845	0.212786859	Cell contribution (adjusted)	-0.383003383	SERPINB12
SERPINB11	0.046231998	Bulk (unadjusted)	-0.07396094	0.110054077	Cell contribution (adjusted)	0.180498544	SERPINB11
SERPINB10	0.046175209	Bulk (unadjusted)	-0.073767507	0.33854424	Cell contribution (adjusted)	-0.28121653	SERPINB10
SERPINB9	0.18367218	Bulk (unadjusted)	0.562076294	0.105385788	Cell contribution (adjusted)	0.263669882	SERPINB9
SERPINB8	0.995715719	Bulk (unadjusted)	0.928782413	0.238351377	Cell contribution (adjusted)	0.498572843	SERPINB8
SERPINB7	0.368091595	Bulk (unadjusted)	0.317665762	0.210678865	Cell contribution (adjusted)	0.202794323	SERPINB7
SERPINB6	0.608098482	Bulk (unadjusted)	0.422773792	0.103287464	Cell contribution (adjusted)	0.229538955	SERPINB6
SERPINB5	0.149476667	Bulk (unadjusted)	0.397243067	0.057098872	Cell contribution (adjusted)	0.102799284	SERPINB5
SERPINB4	0.053508075	Bulk (unadjusted)	-0.138927842	0.02878793	Cell contribution (adjusted)	-0.083090057	SERPINB4
SERPINB3	0.025732022	Bulk (unadjusted)	0.076006341	0.119656076	Cell contribution (adjusted)	0.21856245	SERPINB3
SERPINB2	0.25265541	Bulk (unadjusted)	0.252332178	0.246130456	Cell contribution (adjusted)	0.225313717	SERPINB2
SERPINB1	0.30361777	Bulk (unadjusted)	0.728995864	0.375317504	Cell contribution (adjusted)	0.706317767	SERPINB1
SERPINA12	0.069463605	Bulk (unadjusted)	-0.153211718	0.087604345	Cell contribution (adjusted)	-0.169348311	SERPINA12
SERPINA10	0.04693739	Bulk (unadjusted)	0.142026484	0.11678612	Cell contribution (adjusted)	-0.512895182	SERPINA10
SERPINA9	0.094064532	Bulk (unadjusted)	0.180173001	0.001212065	Cell contribution (adjusted)	0.001725688	SERPINA9
SERPINA7	0.242258115	Bulk (unadjusted)	-0.408209352	0.192730999	Cell contribution (adjusted)	-0.314253626	SERPINA7
SERPINA6	0.02177903	Bulk (unadjusted)	-0.040266082	0.245102406	Cell contribution (adjusted)	0.224023278	SERPINA6
SERPINA5	0.502558534	Bulk (unadjusted)	-0.693790767	0.144446719	Cell contribution (adjusted)	-0.210041792	SERPINA5
